"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\package-lock.json", "JSON", 27606, 0, 0, 0, 0, 0, 0, 1, 27607
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\public\index.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\App.jsx", "JavaScript", 0, 74, 0, 0, 0, 0, 2, 7, 83
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchBar\SearchBar.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchComponent.jsx", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\ModalMovieResults\ModalMovieResults.jsx", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 6, 67
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\ModalMovieResults\ModalNoResults.jsx", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\ModalMovieResults\ModalShowsResults.jsx", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 6, 58
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\SearchModal.jsx", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\TooShortQuery.jsx", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\Hamburger\Hamburger.jsx", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\Header.jsx", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\LogInRegisterButtons\LogInRegisterButtons.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\Navbar\Navbar.jsx", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\logos\AppLogo.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\logos\oscar.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\logos\react-icon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Main.jsx", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 3, 26
