Date : 2022-03-13 17:37:53
Directory : c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind
Total : 68 files,  30381 codes, 64 comments, 316 blanks, all 30761 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     27,680 |          0 |          3 |     27,683 |
| JavaScript |         57 |      2,536 |         26 |        265 |      2,827 |
| XML        |          5 |         53 |          1 |          2 |         56 |
| CSS        |          1 |         45 |         37 |         12 |         94 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         29 |          0 |          1 |         30 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |         68 |     30,381 |         64 |        316 |     30,761 |
| public                                                                                                                                        |          2 |         54 |          0 |          2 |         56 |
| src                                                                                                                                           |         61 |      2,586 |         64 |        276 |      2,926 |
| src\components                                                                                                                                |         57 |      2,431 |         25 |        254 |      2,710 |
| src\components\SearchComponent                                                                                                                |          7 |        217 |          0 |         28 |        245 |
| src\components\SearchComponent\SearchBar                                                                                                      |          1 |         22 |          0 |          3 |         25 |
| src\components\SearchComponent\SearchModal                                                                                                    |          5 |        174 |          0 |         22 |        196 |
| src\components\SearchComponent\SearchModal\ModalMovieResults                                                                                  |          3 |        120 |          0 |         13 |        133 |
| src\components\header                                                                                                                         |          7 |        100 |          0 |         15 |        115 |
| src\components\header\Hamburger                                                                                                               |          1 |          7 |          0 |          1 |          8 |
| src\components\header\LogInRegisterButtons                                                                                                    |          1 |         12 |          0 |          2 |         14 |
| src\components\header\Navbar                                                                                                                  |          1 |         25 |          0 |          2 |         27 |
| src\components\header\logos                                                                                                                   |          3 |         13 |          0 |          3 |         16 |
| src\components\main                                                                                                                           |         43 |      2,114 |         25 |        211 |      2,350 |
| src\components\main\MovieHero                                                                                                                 |          1 |         48 |          0 |          4 |         52 |
| src\components\main\MoviePage                                                                                                                 |         23 |        874 |         22 |        100 |        996 |
| src\components\main\MoviePage\Cast                                                                                                            |          1 |         36 |          0 |          3 |         39 |
| src\components\main\MoviePage\DesktopMovieOverview                                                                                            |          1 |         20 |          0 |          1 |         21 |
| src\components\main\MoviePage\Genres                                                                                                          |          1 |         13 |          0 |          1 |         14 |
| src\components\main\MoviePage\Indicators                                                                                                      |          1 |         30 |          0 |          2 |         32 |
| src\components\main\MoviePage\Keywords                                                                                                        |          1 |         31 |          0 |          5 |         36 |
| src\components\main\MoviePage\MobileMovieOverview.jsx                                                                                         |          2 |         41 |          0 |          4 |         45 |
| src\components\main\MoviePage\MovieBackdrop                                                                                                   |          1 |         16 |          0 |          1 |         17 |
| src\components\main\MoviePage\MovieDescription                                                                                                |          1 |         17 |          0 |          4 |         21 |
| src\components\main\MoviePage\MovieDetails                                                                                                    |          1 |         55 |          0 |          5 |         60 |
| src\components\main\MoviePage\MovieImages                                                                                                     |          1 |         19 |          0 |          2 |         21 |
| src\components\main\MoviePage\MoviePagePoster.jsx                                                                                             |          1 |         11 |          0 |          1 |         12 |
| src\components\main\MoviePage\Providers                                                                                                       |          2 |         98 |          1 |         10 |        109 |
| src\components\main\MoviePage\RatingAndInteractions                                                                                           |          3 |         42 |          0 |          6 |         48 |
| src\components\main\MoviePage\Reccomendations                                                                                                 |          1 |         20 |          0 |          2 |         22 |
| src\components\main\MoviePage\Reviews                                                                                                         |          3 |        180 |          0 |         18 |        198 |
| src\components\main\MoviePage\Reviews\AllReviews                                                                                              |          1 |         74 |          0 |          9 |         83 |
| src\components\main\MoviePage\Reviews\Review                                                                                                  |          1 |         58 |          0 |          5 |         63 |
| src\components\main\MoviePage\Score                                                                                                           |          1 |          9 |          0 |          2 |         11 |
| src\components\main\MovieShowcase                                                                                                             |          1 |         83 |          0 |          4 |         87 |
| src\components\main\PersonPage                                                                                                                |          4 |        320 |          2 |         33 |        355 |
| src\components\main\PersonPage\PersonCredits                                                                                                  |          1 |        145 |          2 |         17 |        164 |
| src\components\main\PersonPage\PersonOverview                                                                                                 |          1 |         33 |          0 |          1 |         34 |
| src\components\main\PersonPage\PersonProductionInfo                                                                                           |          1 |         30 |          0 |          3 |         33 |
| src\components\main\PopularMoviesList                                                                                                         |          2 |         89 |          0 |          9 |         98 |
| src\components\main\PopularMoviesList\MoviePoster                                                                                             |          1 |         14 |          0 |          4 |         18 |
| src\components\main\PopularTVShows                                                                                                            |          1 |         74 |          0 |          6 |         80 |
| src\components\main\Rankings                                                                                                                  |          3 |        500 |          1 |         40 |        541 |
| src\components\main\Rankings\RankingsInterface                                                                                                |          1 |        224 |          0 |         10 |        234 |
| src\components\main\Rankings\RankingsProduction                                                                                               |          1 |        124 |          1 |         15 |        140 |
| src\components\main\SearchResults                                                                                                             |          1 |          7 |          0 |          1 |          8 |
| src\components\main\SearchingResults                                                                                                          |          1 |         12 |          0 |          2 |         14 |
| src\components\main\SiteOverview                                                                                                              |          5 |         84 |          0 |          9 |         93 |
| src\components\main\SiteOverview\BigSearchBar                                                                                                 |          1 |         18 |          0 |          3 |         21 |
| src\components\main\SiteOverview\CommunityOverview                                                                                            |          1 |         19 |          0 |          2 |         21 |
| src\components\main\SiteOverview\DataOverview                                                                                                 |          1 |         20 |          0 |          2 |         22 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\README.md                                                                          | Markdown   |         38 |          0 |         33 |         71 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\package-lock.json                                                                  | JSON       |     27,606 |          0 |          1 |     27,607 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\package.json                                                                       | JSON       |         49 |          0 |          1 |         50 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\postcss.config.js                                                                  | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\public\index.html                                                                  | HTML       |         29 |          0 |          1 |         30 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\public\manifest.json                                                               | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\App.jsx                                                                        | JavaScript |         74 |          2 |          7 |         83 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchBar\SearchBar.jsx                             | JavaScript |         22 |          0 |          3 |         25 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchComponent.jsx                                 | JavaScript |         21 |          0 |          3 |         24 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\ModalMovieResults\ModalMovieResults.jsx | JavaScript |         61 |          0 |          6 |         67 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\ModalMovieResults\ModalNoResults.jsx    | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\ModalMovieResults\ModalShowsResults.jsx | JavaScript |         52 |          0 |          6 |         58 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\SearchModal.jsx                         | JavaScript |         47 |          0 |          8 |         55 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\SearchComponent\SearchModal\TooShortQuery.jsx                       | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\Hamburger\Hamburger.jsx                                      | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\Header.jsx                                                   | JavaScript |         43 |          0 |          7 |         50 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\LogInRegisterButtons\LogInRegisterButtons.jsx                | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\Navbar\Navbar.jsx                                            | JavaScript |         25 |          0 |          2 |         27 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\logos\AppLogo.jsx                                            | JavaScript |         11 |          0 |          3 |         14 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\logos\oscar.svg                                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\header\logos\react-icon.svg                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\Main.jsx                                                       | JavaScript |         23 |          0 |          3 |         26 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MovieHero\MovieHero.jsx                                        | JavaScript |         48 |          0 |          4 |         52 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Cast\Cast.jsx                                        | JavaScript |         36 |          0 |          3 |         39 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\DesktopMovieOverview\DesktopMovieOverview.jsx        | JavaScript |         20 |          0 |          1 |         21 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Genres\Genres.jsx                                    | JavaScript |         13 |          0 |          1 |         14 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Indicators\Indicators.jsx                            | JavaScript |         30 |          0 |          2 |         32 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Keywords\Keywords.jsx                                | JavaScript |         31 |          0 |          5 |         36 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MobileMovieOverview.jsx\MobileMovieOverview.jsx      | JavaScript |         27 |          0 |          3 |         30 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MobileMovieOverview.jsx\YearDirector.jsx             | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MovieBackdrop\MovieBackdrop.jsx                      | JavaScript |         16 |          0 |          1 |         17 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MovieDescription\MovieDescription.jsx                | JavaScript |         17 |          0 |          4 |         21 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MovieDetails\MovieDetails.jsx                        | JavaScript |         55 |          0 |          5 |         60 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MovieImages\MovieImages.jsx                          | JavaScript |         19 |          0 |          2 |         21 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MoviePage.jsx                                        | JavaScript |        236 |         21 |         33 |        290 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\MoviePagePoster.jsx\MoviePagePoster.jsx              | JavaScript |         11 |          0 |          1 |         12 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Providers\Providers.jsx                              | JavaScript |         49 |          0 |          8 |         57 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Providers\justwatch.svg                              | XML        |         49 |          1 |          2 |         52 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\RatingAndInteractions\RatingAndInteractions.jsx      | JavaScript |         32 |          0 |          4 |         36 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\RatingAndInteractions\TMDBLogo.jsx                   | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\RatingAndInteractions\tmdb-short-logo.svg            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reccomendations\Recommendations.jsx                  | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reviews\AllReviews\AllReviews.jsx                    | JavaScript |         74 |          0 |          9 |         83 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reviews\Review\Review.jsx                            | JavaScript |         58 |          0 |          5 |         63 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Reviews\Reviews.jsx                                  | JavaScript |         48 |          0 |          4 |         52 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MoviePage\Score\Score.jsx                                      | JavaScript |          9 |          0 |          2 |         11 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\MovieShowcase\MovieShowcase.jsx                                | JavaScript |         83 |          0 |          4 |         87 |
| c:\Users\Kuba Kosmal\Desktop\react-tailwind\react-tailwind\src\components\main\PersonPage\PersonCredits\PersonCredits.jsx                     | JavaScript |        145 |          2 |         17 |        164 |
